t,CH1 [uV],CH2 [uV]
1328,0,0
1329,80000,80000
1330,0,80000
1331,80000,0
1332,0,80000
1333,80000,0
1334,0,0
1335,80000,120000
1336,0,80000
1337,80000,0
1338,0,80000
1339,80000,0
1340,0,80000
1341,80000,0
1342,0,80000
1343,80000,0
1344,0,80000
1345,80000,0
1346,0,80000
1347,80000,0
1348,0,0
1349,80000,80000
1350,0,80000
1351,80000,0
1352,0,80000
1353,80000,0
1354,0,80000
1355,80000,0
1356,0,80000
1357,80000,0
1358,0,0
1359,80000,120000
1360,0,80000
1361,80000,0
1362,0,80000
1363,80000,0
1364,0,0
1365,80000,80000
1366,0,80000
1367,80000,0
1368,40000,80000
1369,0,0
1370,0,0
1371,80000,120000
1372,0,80000
1373,80000,0
1374,0,80000
1375,80000,0
1376,0,80000
1377,80000,0
1378,0,80000
1379,80000,0
1380,0,80000
1381,80000,0
1382,0,80000
1383,80000,0
1384,0,80000
1385,80000,0
1386,0,0
1387,80000,120000
1388,0,80000
1389,80000,0
1390,0,80000
1391,80000,0
1392,0,80000
1393,80000,0
1394,0,80000
1395,80000,0
1396,0,80000
1397,80000,0
1398,0,80000
1399,80000,0
,,
,,
